"","domain","fem_p_16","popdens_16","netmig_r_16","gdp_eurhab_16","unraall_16","robb_r_10","burg_r_10","vthft_r_10","he_p_16","medage_16"
"125","ITI3",0.515701356,163.9,0.009263146,26700,10.6,11.55536341,41.5253305,26.05543231,17.3,46.7
"126","ITI4",0.517936741,348.8,0.320881207,32200,11.1,11.55536341,42.84508011,22.60318792,20.4,45.1
"127","LT00",0.539698701,45.8,-1.044500405,10400,14.9,9.440696707,16.98079111,7.131586072,22.5,43.4
"128","NL11",0.501374801,247.3,0.006338645,40200,8.2,4.933863952,49.06453597,4.317130958,31.2,41.6
"129","NL12",0.499448951,190.3,0.170732462,28500,6.7,1.501455018,32.14971209,2.306358739,22.7,43.9
"130","NL13",0.503748243,183.5,0.826598503,28400,6.5,1.698630249,36.71497189,3.58144932,24.5,46.1
"131","NL21",0.498965288,340.9,0.158440242,34500,6.2,2.403257944,39.247387,3.626734715,27.2,41.7
"132","NL22",0.505262729,408.3,0.549045349,34800,5.6,3.537473389,55.70537956,8.18532037,28.5,43.2
"133","NL23",0.499695596,282.9,0.351673481,31100,7.9,7.99370403,61.94501916,9.206371205,25.4,38.3
"134","NL31",0.509682298,910.4,0.473848807,50400,5,5.182107909,72.26685029,9.147205627,40.4,39.7
"135","NL32",0.507169137,1016,0.647394801,54600,5.5,11.55536341,69.17059207,13.44056098,37.2,41.2
"136","NL33",0.506335334,1260.8,0.510945661,41700,7.1,9.866651133,65.1740067,11.19453563,31.6,40.9
"137","NL34",0.503963258,211.5,0.19462193,33200,3.9,2.386872725,38.92438597,3.803258737,22.5,45.8
"138","NL41",0.499893347,505.1,0.485482936,41800,5.3,4.178090717,69.09457493,10.4652368,29.8,43.4
"139","NL42",0.503810044,517.8,0.343199613,36700,5.7,4.649454428,61.00729221,15.56089083,25.9,47
"140","NO01",0.50039267,249,0.877216109,75300,4.6,8.228894284,14.16488307,26.30849406,46.4,37.1
"141","NO02",0.49994144,7.6,0.555930051,42600,4.5,0.832854009,16.29270654,16.13654641,30.1,43.9
"142","NO03",0.499771519,28.9,0.743020663,43100,5.1,1.543517025,19.65953264,25.40710262,31.6,41.7
"143","NO04",0.493650568,31.7,0.067302022,54200,5.5,2.447346257,17.50893997,23.36694963,33.9,37.3
"144","NO05",0.492241661,18.9,0.297849266,55500,4.8,1.661579017,8.588567214,10.75535607,36.1,38.9
"145","NO06",0.493860369,11.5,0.793846797,52000,4,1.223698819,9.81183962,23.82875336,36.4,38.9
"146","NO07",0.491776937,4.4,0.469385128,51300,3.2,0.456721487,7.016902847,9.902552243,32.8,41.1
"147","PL11",0.523302478,136.7,-0.01254361,10400,5.5,6.223405328,10.30108698,7.171234396,20.7,41.3
"148","PL12",0.521380198,151.3,0.25356609,9300,3.1,4.733935006,10.26437336,6.216107514,25,38.7
"149","PL21",0.514599414,221.9,0.124833673,10100,5.2,6.99693186,8.771690113,3.099070249,26.5,38.7
"150","PL22",0.517374259,371.6,-0.084569037,11500,5.4,8.445843187,15.37196551,5.68291544,24.1,41.4
"151","PL31",0.515242187,84.9,-0.147413676,7600,8,3.474110326,5.975847381,0.788283185,16.8,39.8
"152","PL32",0.510076813,117.7,0.003215749,7800,9.6,1.804659092,3.988488579,0.542357653,23.3,41.5
"153","PL33",0.512112538,106.5,-0.083662467,7900,8.9,3.293354108,4.171045056,1.586285475,23.1,41.5
"154","PL34",0.512257268,57.9,-0.094913909,7900,6.7,4.236611746,7.006372175,1.121709831,25.7,36.3
"155","PL41",0.513388425,117.1,0.017299504,12100,4.8,2.642738294,5.859228981,5.95485438,22.6,38.7
"156","PL42",0.513191312,77,-0.084321789,9300,6.9,4.602069447,13.87746619,3.075963837,22.7,40.6
"157","PL43",0.512664166,72.8,-0.00457639,9300,4.7,4.078956663,10.66497937,4.626133776,19.6,39.6
"158","PL51",0.51874417,144.9,0.164349667,12300,5.5,8.168611308,14.09259994,5.295633912,25.4,40.8
"159","PL52",0.515139776,102.2,-0.049865782,8800,5,2.624514858,11.94679164,1.900148758,21.7,41.6
"160","PL61",0.515578034,117.3,-0.036178362,9100,7.4,3.695430566,10.32974686,3.991258997,20.7,39.8
"161","PL62",0.510457089,61.5,-0.244427574,7900,8.8,3.336316226,8.976952558,2.594127235,20.1,39.1
"162","PL63",0.512782058,129,0.176587431,10800,5.7,5.335830121,11.50606989,5.788167983,26.4,38.7
"163","PT11",0.525529042,170.2,-0.367197979,15300,12,12.23993265,23.51421203,20.56175491,18.4,43.8
"164","PT15",0.520547418,89.5,0.13395817,19200,9.2,25.09452876,91.82470487,21.67769031,18.8,43.5
"165","PT16",0.525787506,80.4,-0.027522155,15700,8.4,6.293310831,24.67686951,18.54753932,21.2,46
"166","PT17",0.530378166,1002.5,0.256303779,23800,11.9,44.44518711,20.87690095,23.41896228,28.8,43.1
"167","PT18",0.518410637,23.2,-0.155717009,16800,12.1,7.30268598,17.38011654,11.95486968,16.8,46.6
"168","SE11",0.50228216,344.9,1.078989836,65400,6.5,13.60557022,27.45761816,43.45178156,43.6,38.2
