,domain,area,pop_16,fem_16,fem_p_16,male_16,popdens_16,netmig_16,netmig_r_16,gdp_eurhab_16,gdp_mil_16,pps_16,pps_hab_16,loun_ths_16,loun_p_act_16,un1524_ths_16,unall_ths_2016,unra1524_16,unraall_16,hcide_10,hcide_r_10,robb_10,robb_r_10,burg_10,burg_r_10,vthft_10,vthft_r_10,he_p_16,medage_16
75,FI20,76,28983,14498,0.500224269,14485,18.7,235,0.810820136,46600,1356.98,1097.97,37700, , , , , , ,0,0,1,0.345029845,21,7.245626747,22,7.590656592,24.5,44
76,FR10,77,12117132,6268047,0.517288002,5849085,1015.3,-68033,-0.561461243,56400,683961.78,626136.81,51600,251.1,4.3,106.5,537.7,22.6,9.2,139,0.114713614,57179,47.18855914,41053,33.88012939,47777,39.4292973,41.6,37.1
77,FRB0,78,2577866,1327678,0.515029874,1250188,65.7,-3015,-0.116957204,27400,70526.18,64563.61,25100,48.2,4.4,27.1,109.4,25.6,9.9,25,0.09697944,2062,7.998864177,6912,26.81287546,6575,25.50559261,25.8,43.4
78,FRC1,79,1637941,844424,0.515539937,793517,51.8,-1838,-0.112214054,27100,44263.44,40521.22,24800,28.3,4,17.5,67.1,25.8,9.5,14,0.085473164,921,5.622913157,3474,21.20955517,3655,22.31460108,25,45.2
79,FRC2,80,1180397,601122,0.50925409,579275,72.8,-2697,-0.228482451,25100,29579.68,27078.89,23000,18.9,3.5,11.3,43.8,22.6,8.2,11,0.093188986,587,4.972903184,2217,18.78181663,2032,17.21454731,27.7,42.2
80,FRD1,81,1477349,761959,0.515761002,715390,83.2,-1682,-0.113852583,26400,38905.27,35616.06,24100,23.2,3.7,13.3,54.4,21.3,8.6,10,0.067688813,720,4.873594526,2173,14.70877904,2243,15.18260073,22.9,44.3
81,FRD2,82,1858580,960662,0.516879553,897918,151.8,-4298,-0.231251816,28600,53234.97,48734.27,26200,47.5,5.9,24.3,92.5,28.2,11.5,29,0.156033101,2776,14.93613404,4665,25.09980738,5116,27.52639112,24.5,41
82,FRE1,83,4074448,2104414,0.516490577,1970034,328.1,-16727,-0.410534139,27000,109880.34,100590.6,24700,113.3,6.6,55.9,227.2,30.7,13.3,31,0.076083926,6958,17.0771599,12573,30.85816778,11611,28.49711176,25.8,38.6
83,FRE2,84,1932422,990024,0.512322878,942398,99.6,-6081,-0.314682818,24700,47626.45,43599.91,22600,47.6,5.7,22,96.2,26.4,11.6,18,0.093147356,1997,10.33418166,4721,24.43048154,6348,32.84996755,20.5,40.5
84,FRF1,85,1884150,965038,0.512187459,919112,228.1,-2688,-0.142663801,30600,57699.74,52821.56,28000,42.5,4.8,26.1,97.2,29.5,10.9,20,0.106148661,1701,9.027943635,3464,18.38494812,2898,15.38094101,31,41.4
85,FRF2,86,1333248,685062,0.513829385,648186,52.1,-5180,-0.388524866,27700,36911.08,33790.47,25400,26.4,4.8,17.1,61.9,29.1,11.3,13,0.09750624,1162,8.715557796,3307,24.80408746,3690,27.67677131,20.9,42.2
86,FRF3,87,2337788,1196562,0.511835119,1141226,99.3,-7349,-0.31435699,24600,57456.41,52598.81,22500,58.3,5.8,28.9,119.6,24.9,11.8,17,0.072718313,1952,8.349773376,5172,22.12347741,4456,19.06075316,27.5,42.4
87,FRG0,88,3737632,1917199,0.512944827,1820433,116.4,11209,0.299895763,29900,112121.41,102642.2,27400,56.4,3.3,40.2,150.8,21.8,8.8,26,0.069562761,1628,4.355699009,6742,18.03815892,8244,22.05674609,28.9,41.3
88,FRH0,89,3306529,1700535,0.514296109,1605994,120.9,11134,0.336727729,28100,93100.94,85229.8,25700,47,3.2,29.5,126.4,20.3,8.6,31,0.093753903,1581,4.781449066,4738,14.3292256,5376,16.25874142,30.7,43.1
89,FRI1,90,3393297,1759951,0.51865516,1633346,82.3,21378,0.630006746,29100,98915.14,90552.44,26600,63.1,4.1,37.4,154,24.5,10.1,36,0.106091509,2641,7.782990997,9214,27.15353239,7975,23.50221628,29.3,43.9
90,FRI2,91,736015,381620,0.518494868,354395,43.3,1330,0.180702839,25400,18689.65,17109.55,23300,10.9,3.3,4.5,23.2,14.9,7.1,6,0.081520078,254,3.451016623,1086,14.75513407,1031,14.00786669,29.7,47.2
91,FRI3,92,1806291,933846,0.516996431,872445,69.8,5771,0.319494478,26700,48262.66,44182.33,24400,30.1,3.9,18.3,68.6,23.7,9,8,0.044289652,647,3.581925614,4183,23.15795185,4495,24.88524828,24.8,45.6
92,FRJ1,93,2793303,1452958,0.520157677,1340345,102.4,15663,0.560734013,24700,69318.15,63457.7,22700,66.9,5.8,29.9,138,32.2,12,37,0.132459672,5205,18.6338539,13970,50.01247627,12654,45.30120792,27.6,43.9
93,FRJ2,94,3015132,1547728,0.513320147,1467404,66.6,13734,0.455502446,30700,92825.04,84977.22,28100,45.1,3.3,21.5,115.6,24.4,8.6,24,0.079598505,3651,12.10892259,8799,29.18280195,6952,23.05703366,34.6,43
94,FRK1,95,1363392,702964,0.515599329,660428,52.3,2403,0.176251584,26200,35724.53,32704.23,24000,17.6,3,8.2,42.6,15.2,7.2,14,0.102685068,663,4.862871427,2010,14.74264188,2321,17.02371732,28.1,45.4
95,FRK2,96,6553497,3362685,0.513113075,3190812,148.6,13122,0.200228977,33300,218819.8,200319.87,30500,95.4,3.2,61.1,243.8,21.3,8,52,0.07934695,7416,11.31609582,19495,29.74747681,19399,29.60099013,34.1,40.1
96,FRL0,97,5021928,2618456,0.521404528,2403472,161,6403,0.127500832,30900,155382.11,142245.46,28300,101.2,4.6,49.7,233.3,23.5,10.6,95,0.189170374,19165,38.16263395,25982,51.73710177,29335,58.41382035,31.9,43.7
97,HU10,116,2993948,1582546,0.528581659,1411402,441.3,12307,0.411062584, , , , , , , , , , ,55,0.183703925,1797,6.002108253,8124,27.13473982,5740,19.17200967,NA,NA
98,HU21,117,1060703,549043,0.517621804,511660,99,-868,-0.081832521,11000,11646.29,19602.52,18500,6.5,1.3,2.9,15.3,7.2,3,11,0.103704807,315,2.969728567,1453,13.69846225,570,5.373794549,16.6,42.4
99,HU22,118,983933,509301,0.517617561,474632,87.9,3098,0.314858837,12700,12452.29,20959.15,21300,5.3,1.1,3,12.6,8.4,2.7,8,0.081306349,188,1.910699204,1262,12.82607657,451,4.583645431,16.9,42.8
100,HU23,119,900868,472109,0.524060129,428759,65.2,-2181,-0.242099841,7600,6847.32,11525.12,12800,13,3.3,4.2,24.3,13.2,6.2,13,0.14430527,182,2.02027378,2253,25.00921334,443,4.917479586,16.4,43.8
101,HU31,120,1153714,603955,0.523487623,549759,86.4,-5281,-0.457739093,7600,8738.25,14707.84,12800,13.8,2.8,5,31.5,12.2,6.3,12,0.104011913,324,2.808321646,2174,18.84349154,320,2.773651009,14.9,42.4
102,HU32,121,1474383,764259,0.518358527,710124,84.5,-3625,-0.245865559,7300,10800.61,18179.12,12400,26.9,4,13.7,62.6,23.3,9.3,16,0.108519971,354,2.401004352,2861,19.40472727,490,3.323424104,14.8,41.1
103,HU33,122,1262936,660753,0.523188032,602183,69.4,-4760,-0.376899542,8300,10374.21,17461.41,13900,14.3,2.5,7.9,32.5,16.7,5.6,17,0.134606979,236,1.868661595,1738,13.76158412,610,4.830015139,17.3,43.3
104,IE01,123,1259673,631366,0.501214204,628307,39.2,7385,0.58626326, , , , , , , , , , , ,, ,, ,, ,,NA,NA
105,IE02,124,3466613,1755779,0.506482552,1710834,96,17416,0.502392393, , , , , , , , , , , ,, ,, ,, ,,NA,NA
106,IS00,125,332529,165259,0.496976204,167270,3.3,4095,1.231471541, , , , , , ,2.1,5.8,6.5,3,2,0.06014513,42,1.263047734,2866,86.18797158, ,,33.4,36.2
107,ITC1,126,4404246,2272354,0.515946203,2131892,176.9,7532,0.171016787,29800,130941.61,133449.69,30300,100.1,5,38.7,186.7,36,9.3,42,0.095362521,3698,8.396442887,18620,42.27738414,9955,22.60318792,15.3,47.5
108,ITC2,127,127329,65219,0.512208531,62110,39.2,-23,-0.018063442,34300,4353.39,4436.78,34900,2.3,3.9, ,5.2, ,8.7,0,0,18,1.413660674,322,25.28881873,55,4.319518727,14.2,46.6
109,ITC3,128,1571053,823545,0.524199375,747508,294.2,5206,0.331370107,31000,48692.48,49625.14,31600,30.2,4.5,12.7,65.8,37.9,9.7,21,0.13366831,1224,7.790952947,4519,28.76414736,5176,32.94605593,17.5,50
110,ITC4,129,10008349,5121806,0.511753337,4886543,439.2,23530,0.235103712,36900,369319.71,376393.74,37600,183,3.9,79.4,345.7,29.9,7.4,66,0.065944943,7594,7.587665058,41560,41.5253305,34042,34.01360204,17.2,45.4
111,ITF1,130,1326513,681061,0.513422032,645452,124.5,206,0.015529437,24000,31800.58,32409.69,24500,37.9,6.9,11.9,66.9,38.8,12.1,8,0.060308493,526,3.965283416,3189,24.04047303,2722,20.51996475,14.9,46.1
112,ITF3,132,5850850,3004130,0.513451892,2846720,436.5,-9106,-0.155635506,17800,104039.92,106032.72,18100,284.6,13.9,83.6,418.5,49.9,20.4,67,0.114513276,11371,19.43478298,7861,13.43565465,28979,49.52955553,13.1,42
113,ITF4,133,4077166,2097913,0.514551774,1979253,212.1,-6864,-0.168352233,18100,73496.25,74904.01,18400,178.6,12.1,59.3,287.6,49.6,19.4,64,0.156971779,3428,8.407800909,9650,23.66840104,22047,54.07432516,11.6,44.2
114,ITF5,134,573694,292251,0.509419656,281443,58.9,-1143,-0.199235132,20800,11889.79,12117.53,21200,18.1,8.2,4.7,29.5,34.2,13.3,7,0.122016267,70,1.220162665,671,11.69613069,476,8.297106123,13.9,45.6
115,ITF6,135,1970521,1007092,0.51107905,963429,133.4,-2162,-0.109717176,16700,32898.92,33529.07,17000,100.7,14.8,27,157.7,58.7,23.2,63,0.319712401,821,4.166410812,2531,12.84431884,5470,27.75915608,13.1,43.9
